id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
477834984,Sepw1-Cre_NP39,5,1011,AUDd,Dorsal auditory area,Sepw1-Cre_NP39-174463,0.0288807715,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,"",0.1800069341,019399,,"[7450, 2320, 9990]",false,https://connectivity.brain-map.org/projection/experiment/477834984
305488671,Htr3a-Cre_NO152,5,1002,AUDp,Primary auditory area,Htr3a-Cre_NO152-145245,0.03508239035,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,"",0.17712146375,019399,,"[7680, 2860, 10030]",false,https://connectivity.brain-map.org/projection/experiment/305488671
642460814,A930038C07Rik-Tg1-Cre,36,1027,AUDpo,Posterior auditory area,A930038C07Rik-Tg1-Cre-345965,0.009256767624999999,"[{""id""=>382, ""abbreviation""=>""CA1"", ""name""=>""Field CA1"", ""color""=>""7ED04B""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,"",0.1415567241375,019399,,"[8210, 2490, 1530]",false,https://connectivity.brain-map.org/projection/experiment/642460814
183105218,Crh-IRES-Cre_BL,5,1002,AUDp,Primary auditory area,Crh-IRES-Cre-283,0.01865791865,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}]",M,B6.129,0.1264476801,019399,,"[7890, 2450, 10330]",false,https://connectivity.brain-map.org/projection/experiment/183105218
160080068,Pvalb-IRES-Cre,5,1011,AUDd,Dorsal auditory area,Pvalb-IRES-Cre-5017,0.13421412619999998,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,B6.129,0.12567820125,019399,,"[7300, 2560, 10130]",false,https://connectivity.brain-map.org/projection/experiment/160080068
584896065,A930038C07Rik-Tg1-Cre,35,1027,AUDpo,Posterior auditory area,A930038C07Rik-Tg1-Cre-306719,0.001366926509375,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,"",0.1211588161,019399,,"[8330, 2310, 2040]",false,https://connectivity.brain-map.org/projection/experiment/584896065
182934777,Gad2-IRES-Cre,5,1002,AUDp,Primary auditory area,Gad2-IRES-Cre-1186,0.03302066145,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,C57BL/6J,0.07325619100625,019399,,"[7620, 2790, 10110]",false,https://connectivity.brain-map.org/projection/experiment/182934777
267930268,Nos1-CreERT2,5,1002,AUDp,Primary auditory area,Nos1-CreERT2-181,0.018233445125,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,B6.129,0.06590924095,019399,,"[7560, 2710, 10280]",false,https://connectivity.brain-map.org/projection/experiment/267930268
182040934,Vip-IRES-Cre,5,1002,AUDp,Primary auditory area,Vip-IRES-Cre-185,0.026473475,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}]",F,"",0.05843887,019399,,"[8080, 2320, 10200]",false,https://connectivity.brain-map.org/projection/experiment/182040934
485022815,Calb1-T2A-dgCre,5,1002,AUDp,Primary auditory area,Calb1-2A-dgCre-189011,0.005778844399999999,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,C57BL/6J,0.052896984699999997,019399,,"[7790, 2870, 10160]",false,https://connectivity.brain-map.org/projection/experiment/485022815
478097779,Ctgf-T2A-dgCre,5,1011,AUDd,Dorsal auditory area,Ctgf-2A-dgCre-neo-179275,0.0071875184499999994,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",M,"",0.0512536551625,019399,,"[7480, 3010, 9510]",false,https://connectivity.brain-map.org/projection/experiment/478097779
168455487,Calb2-IRES-Cre,5,1002,AUDp,Primary auditory area,Calb2-IRES-Cre-171,0.017401608875,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,C57BL/6J,0.048507492425,019399,,"[7780, 2520, 10140]",false,https://connectivity.brain-map.org/projection/experiment/168455487
